row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.666666666667,0.667911,0.0012443333330000028,0.0012443333330000028
0,1,linear_r0c1,0.0,-0.000241,-0.000241,0.000241
0,2,linear_r0c2,0.0,-0.001989,-0.001989,0.001989
0,3,tx,41.50000000004201,41.646311,0.1463109999579899,0.1463109999579899
1,0,linear_r1c0,0.0,-0.001815,-0.001815,0.001815
1,1,linear_r1c1,0.666666666667,0.667047,0.0003803333329999159,0.0003803333329999159
1,2,linear_r1c2,0.0,0.001887,0.001887,0.001887
1,3,ty,41.50000000004201,41.393208,-0.10679200004200595,0.10679200004200595
2,0,linear_r2c0,0.0,-0.001211,-0.001211,0.001211
2,1,linear_r2c1,0.0,0.000216,0.000216,0.000216
2,2,linear_r2c2,0.666666666667,0.667028,0.00036133333299992465,0.00036133333299992465
2,3,tz,41.50000000004201,41.627671,0.12767099995799214,0.12767099995799214
