row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.919226,0.0015003341210000354,0.0015003341210000354
0,1,linear_r0c1,0.215361189858,0.216896,0.0015348101419999927,0.0015348101419999927
0,2,linear_r0c2,0.101806986705,0.101043,-0.000763986705000011,0.000763986705000011
0,3,tx,-21.474432116361015,-21.591895,-0.11746288363898572,0.11746288363898572
1,0,linear_r1c0,-0.202393799825,-0.203098,-0.0007042001750000026,0.0007042001750000026
1,1,linear_r1c1,1.026031128239,1.024028,-0.0020031282390000626,0.0020031282390000626
1,2,linear_r1c2,0.068892775316,0.0694,0.00050722468400001,0.00050722468400001
1,3,ty,14.255211704428032,14.399442,0.14423029557196898,0.14423029557196898
2,0,linear_r2c0,-0.082539638924,-0.082598,-5.836107600000473e-05,5.836107600000473e-05
2,1,linear_r2c1,-0.094437732193,-0.092853,0.0015847321929999963,0.0015847321929999963
2,2,linear_r2c2,0.963061537592,0.966695,0.003633462407999999,0.003633462407999999
2,3,tz,8.862038459261015,8.504803,-0.3572354592610143,0.3572354592610143
