row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917773,4.7334120999997786e-05,4.7334120999997786e-05
0,1,linear_r0c1,0.215361189858,0.215849,0.0004878101420000003,0.0004878101420000003
0,2,linear_r0c2,0.101806986705,0.100617,-0.0011899867050000068,0.0011899867050000068
0,3,tx,-35.802956505323024,-35.579455,0.22350150532302138,0.22350150532302138
1,0,linear_r1c0,-0.202393799825,-0.200649,0.001744799825000004,0.001744799825000004
1,1,linear_r1c1,1.026031128239,1.024418,-0.0016131282389999502,0.0016131282389999502
1,2,linear_r1c2,0.068892775316,0.069195,0.0003022246840000131,0.0003022246840000131
1,3,ty,20.810875376898007,20.71979,-0.09108537689800755,0.09108537689800755
2,0,linear_r2c0,-0.082539638924,-0.083276,-0.0007363610760000028,0.0007363610760000028
2,1,linear_r2c1,-0.094437732193,-0.092543,0.001894732193000001,0.001894732193000001
2,2,linear_r2c2,0.963061537592,0.963378,0.0003164624079999845,0.0003164624079999845
2,3,tz,21.910904304285992,21.803575,-0.10732930428599374,0.10732930428599374
