row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.231552790153,0.22327,-0.008282790153000014,0.008282790153000014
0,1,linear_r0c1,0.974582085927,0.972831,-0.0017510859270000179,0.0017510859270000179
0,2,linear_r0c2,0.291404913653,0.291741,0.0003360863469999975,0.0003360863469999975
0,3,tx,-57.990932925931006,-56.642415,1.3485179259310058,1.3485179259310058
1,0,linear_r1c0,-0.614904379404,-0.612396,0.0025083794039999496,0.0025083794039999496
1,1,linear_r1c1,0.280146965149,0.278997,-0.0011499651490000096,0.0011499651490000096
1,2,linear_r1c2,0.229765030835,0.227422,-0.0023430308349999818,0.0023430308349999818
1,3,ty,145.86337175905098,145.896601,0.03322924094902646,0.03322924094902646
2,0,linear_r2c0,0.112784546845,0.110563,-0.0022215468450000053,0.0022215468450000053
2,1,linear_r2c1,-0.512907588364,-0.51272,0.0001875883640000131,0.0001875883640000131
2,2,linear_r2c2,0.654020967341,0.657171,0.003150032658999935,0.003150032658999935
2,3,tz,82.341978606284,82.14098,-0.2009986062840028,0.2009986062840028
