31.000000,61.200000,36.600000,33.000000,186.000000,62.000000
39.200000,30.200000,53.000000,70.000000,28.000000,140.000000
39.000000,56.200000,72.000000,70.000000,159.000000,237.000000
54.200000,41.000000,29.000000,148.000000,80.000000,20.000000
38.200000,70.800000,31.000000,69.000000,231.000000,32.000000
50.000000,53.600000,31.800000,128.000000,146.000000,36.000000
33.200000,64.400000,33.000000,42.000000,200.000000,42.000000
38.600000,62.000000,35.200000,70.000000,187.000000,53.000000
56.200000,45.200000,36.800000,156.000000,104.000000,60.000000
41.000000,33.200000,39.800000,84.000000,41.000000,76.000000
38.000000,39.800000,40.200000,68.000000,77.000000,78.000000
52.800000,52.800000,43.000000,143.000000,142.000000,93.000000
60.800000,42.000000,47.200000,180.000000,86.000000,115.000000
64.800000,61.600000,49.000000,201.000000,182.000000,121.000000
53.800000,65.800000,49.400000,145.000000,206.000000,125.000000
54.000000,61.200000,50.200000,147.000000,184.000000,128.000000
48.600000,40.000000,50.600000,123.000000,77.000000,130.000000
39.800000,35.800000,51.800000,74.000000,56.000000,134.000000
39.000000,33.400000,52.800000,71.000000,43.000000,141.000000
28.000000,50.200000,53.200000,18.000000,128.000000,144.000000
54.000000,33.600000,55.600000,147.000000,46.000000,154.000000
39.800000,48.200000,57.200000,76.000000,120.000000,160.000000
65.800000,38.200000,60.800000,206.000000,68.000000,181.000000
64.400000,64.200000,65.000000,198.000000,198.000000,203.000000
60.000000,43.800000,65.600000,177.000000,97.000000,205.000000
59.200000,62.000000,66.800000,172.000000,188.000000,213.000000
27.600000,31.800000,70.000000,14.000000,35.000000,226.000000
66.800000,66.800000,40.800000,210.000000,210.000000,82.000000
56.800000,52.800000,42.800000,162.000000,140.000000,92.000000
29.200000,69.200000,64.800000,24.000000,220.000000,202.000000
34.400000,60.400000,31.200000,50.000000,182.000000,34.000000
68.400000,64.400000,33.200000,218.000000,198.000000,42.000000
62.800000,62.000000,34.400000,188.000000,186.000000,48.000000
61.200000,37.200000,34.800000,182.000000,64.000000,50.000000
40.400000,28.800000,36.000000,78.000000,20.000000,56.000000
32.800000,43.600000,36.800000,38.000000,94.000000,58.000000
53.200000,40.400000,37.200000,144.000000,78.000000,62.000000
36.800000,39.200000,38.800000,62.000000,74.000000,72.000000
57.200000,52.800000,42.400000,164.000000,142.000000,88.000000
60.000000,43.600000,44.400000,176.000000,94.000000,100.000000
49.200000,30.800000,44.800000,122.000000,32.000000,100.000000
28.800000,34.400000,48.800000,22.000000,48.000000,120.000000
57.600000,56.000000,49.600000,168.000000,158.000000,124.000000
66.400000,60.800000,49.600000,208.000000,182.000000,126.000000
62.000000,49.600000,52.000000,192.000000,122.000000,138.000000
44.400000,33.600000,53.600000,100.000000,46.000000,146.000000
45.200000,38.000000,56.000000,102.000000,66.000000,156.000000
48.400000,59.200000,60.400000,120.000000,176.000000,178.000000
64.800000,36.000000,63.200000,200.000000,58.000000,194.000000
70.400000,56.400000,65.200000,228.000000,158.000000,204.000000
54.000000,42.800000,65.600000,156.000000,90.000000,208.000000
61.600000,40.800000,31.200000,184.000000,80.000000,32.000000
37.600000,48.800000,36.000000,56.000000,128.000000,56.000000
34.400000,36.000000,36.800000,48.000000,56.000000,60.000000
45.600000,56.800000,37.600000,104.000000,160.000000,64.000000
50.400000,51.200000,40.800000,132.000000,136.000000,76.000000
58.400000,37.600000,44.800000,172.000000,64.000000,100.000000
59.200000,36.800000,48.000000,176.000000,64.000000,116.000000
57.600000,56.000000,49.600000,168.000000,160.000000,120.000000
40.800000,32.800000,52.000000,80.000000,40.000000,136.000000
42.400000,43.200000,54.400000,92.000000,92.000000,148.000000
42.400000,44.800000,55.200000,84.000000,104.000000,156.000000
44.800000,37.600000,56.000000,104.000000,68.000000,156.000000
46.400000,44.000000,59.200000,108.000000,96.000000,172.000000
65.600000,56.000000,64.800000,204.000000,156.000000,200.000000
52.800000,41.600000,33.600000,140.000000,84.000000,48.000000
58.400000,43.200000,36.800000,168.000000,92.000000,60.000000
52.800000,56.800000,36.800000,148.000000,164.000000,60.000000
36.800000,39.200000,38.400000,64.000000,72.000000,68.000000
51.200000,32.800000,42.400000,132.000000,44.000000,88.000000
43.200000,40.000000,42.400000,88.000000,76.000000,88.000000
60.800000,39.200000,44.800000,180.000000,72.000000,104.000000
43.200000,56.000000,44.800000,100.000000,148.000000,100.000000
51.200000,35.200000,48.000000,132.000000,56.000000,116.000000
43.200000,63.200000,48.000000,92.000000,192.000000,116.000000
62.400000,53.600000,49.600000,192.000000,144.000000,124.000000
44.000000,41.600000,50.400000,96.000000,84.000000,128.000000
45.600000,56.800000,51.200000,108.000000,160.000000,132.000000
44.800000,37.600000,52.800000,100.000000,64.000000,144.000000
39.200000,44.800000,52.800000,76.000000,100.000000,140.000000
61.600000,61.600000,52.800000,184.000000,184.000000,144.000000
48.000000,59.200000,54.400000,116.000000,172.000000,148.000000
36.000000,54.400000,62.400000,60.000000,148.000000,188.000000
44.800000,48.000000,52.000000,104.000000,116.000000,136.000000
47.200000,42.400000,60.800000,112.000000,88.000000,180.000000
40.000000,54.400000,62.400000,80.000000,152.000000,188.000000
4.800000,3.200000,19.200000,224.000000,32.000000,168.000000
96.000000,28.800000,84.800000,232.000000,192.000000,168.000000
92.800000,6.400000,96.000000,208.000000,96.000000,208.000000
16.000000,25.600000,83.200000,144.000000,208.000000,160.000000
41.600000,70.400000,89.600000,104.000000,160.000000,216.000000
32.000000,16.000000,19.200000,152.000000,88.000000,224.000000
