row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917636,-8.966587899994494e-05,8.966587899994494e-05
0,1,linear_r0c1,0.215361189858,0.215712,0.0003508101419999743,0.0003508101419999743
0,2,linear_r0c2,0.101806986705,0.100698,-0.001108986705000009,0.001108986705000009
0,3,tx,-35.802956505323024,-35.654875,0.14808150532302733,0.14808150532302733
1,0,linear_r1c0,-0.202393799825,-0.20177,0.0006237998249999932,0.0006237998249999932
1,1,linear_r1c1,1.026031128239,1.024394,-0.0016371282389999742,0.0016371282389999742
1,2,linear_r1c2,0.068892775316,0.069386,0.0004932246840000098,0.0004932246840000098
1,3,ty,20.810875376898007,20.868378,0.05750262310199261,0.05750262310199261
2,0,linear_r2c0,-0.082539638924,-0.082727,-0.00018736107599999496,0.00018736107599999496
2,1,linear_r2c1,-0.094437732193,-0.093706,0.0007317321930000037,0.0007317321930000037
2,2,linear_r2c2,0.963061537592,0.962711,-0.0003505375919999887,0.0003505375919999887
2,3,tz,21.910904304285992,21.949611,0.03870669571400853,0.03870669571400853
