row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.916633,-0.001092665878999921,0.001092665878999921
0,1,linear_r0c1,0.215361189858,0.216334,0.0009728101419999857,0.0009728101419999857
0,2,linear_r0c2,0.101806986705,0.10217,0.000363013294999992,0.000363013294999992
0,3,tx,-35.802956505323024,-35.830886,-0.027929494676975253,0.027929494676975253
1,0,linear_r1c0,-0.202393799825,-0.201107,0.0012867998249999901,0.0012867998249999901
1,1,linear_r1c1,1.026031128239,1.025217,-0.000814128238999956,0.000814128238999956
1,2,linear_r1c2,0.068892775316,0.068384,-0.000508775315999993,0.000508775315999993
1,3,ty,20.810875376898007,20.79519,-0.015685376898005643,0.015685376898005643
2,0,linear_r2c0,-0.082539638924,-0.082802,-0.0002623610760000006,0.0002623610760000006
2,1,linear_r2c1,-0.094437732193,-0.093932,0.0005057321929999997,0.0005057321929999997
2,2,linear_r2c2,0.963061537592,0.961988,-0.0010735375920000179,0.0010735375920000179
2,3,tz,21.910904304285992,22.066821,0.15591669571400857,0.15591669571400857
