row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918419,0.0006933341210000332,0.0006933341210000332
0,1,linear_r0c1,0.215361189858,0.214799,-0.0005621898580000229,0.0005621898580000229
0,2,linear_r0c2,0.101806986705,0.101249,-0.0005579867049999993,0.0005579867049999993
0,3,tx,-35.802956505323024,-35.695502,0.1074545053230267,0.1074545053230267
1,0,linear_r1c0,-0.202393799825,-0.20229,0.00010379982500000051,0.00010379982500000051
1,1,linear_r1c1,1.026031128239,1.025078,-0.0009531282390000673,0.0009531282390000673
1,2,linear_r1c2,0.068892775316,0.069827,0.0009342246840000068,0.0009342246840000068
1,3,ty,20.810875376898007,20.79589,-0.014985376898007274,0.014985376898007274
2,0,linear_r2c0,-0.082539638924,-0.082541,-1.3610760000032363e-06,1.3610760000032363e-06
2,1,linear_r2c1,-0.094437732193,-0.094563,-0.00012526780699999296,0.00012526780699999296
2,2,linear_r2c2,0.963061537592,0.9627,-0.00036153759199997193,0.00036153759199997193
2,3,tz,21.910904304285992,21.980543,0.06963869571400849,0.06963869571400849
