row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,1.0,1.000097,9.700000000001374e-05,9.700000000001374e-05
0,1,linear_r0c1,0.0,-0.000132,-0.000132,0.000132
0,2,linear_r0c2,0.0,-9e-06,-9e-06,9e-06
0,3,tx,0.0,-0.00302,-0.00302,0.00302
1,0,linear_r1c0,0.0,5.3e-05,5.3e-05,5.3e-05
1,1,linear_r1c1,1.0,1.000017,1.6999999999933735e-05,1.6999999999933735e-05
1,2,linear_r1c2,0.0,-0.000128,-0.000128,0.000128
1,3,ty,0.0,0.01125,0.01125,0.01125
2,0,linear_r2c0,0.0,-6.4e-05,-6.4e-05,6.4e-05
2,1,linear_r2c1,0.0,-0.000108,-0.000108,0.000108
2,2,linear_r2c2,1.0,0.99999,-9.99999999995449e-06,9.99999999995449e-06
2,3,tz,0.0,0.025095,0.025095,0.025095
