row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.231552790153,0.228356,-0.0031967901530000065,0.0031967901530000065
0,1,linear_r0c1,0.974582085927,0.969697,-0.004885085926999988,0.004885085926999988
0,2,linear_r0c2,0.291404913653,0.292691,0.001286086347000004,0.001286086347000004
0,3,tx,-57.990932925931006,-57.328699,0.6622339259310053,0.6622339259310053
1,0,linear_r1c0,-0.614904379404,-0.612992,0.0019123794040000197,0.0019123794040000197
1,1,linear_r1c1,0.280146965149,0.283581,0.003434034851000023,0.003434034851000023
1,2,linear_r1c2,0.229765030835,0.230226,0.0004609691649999914,0.0004609691649999914
1,3,ty,145.86337175905098,145.146293,-0.7170787590509917,0.7170787590509917
2,0,linear_r2c0,0.112784546845,0.108506,-0.004278546844999995,0.004278546844999995
2,1,linear_r2c1,-0.512907588364,-0.511974,0.0009335883639999265,0.0009335883639999265
2,2,linear_r2c2,0.654020967341,0.656466,0.0024450326589999793,0.0024450326589999793
2,3,tz,82.341978606284,82.543167,0.20118839371599506,0.20118839371599506
