row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.5,0.500133,0.00013300000000004975,0.00013300000000004975
0,1,linear_r0c1,0.0,-8e-05,-8e-05,8e-05
0,2,linear_r0c2,0.0,0.000123,0.000123,0.000123
0,3,tx,62.5,62.194388,-0.30561200000000355,0.30561200000000355
1,0,linear_r1c0,0.0,0.000386,0.000386,0.000386
1,1,linear_r1c1,0.5,0.499882,-0.00011800000000000699,0.00011800000000000699
1,2,linear_r1c2,0.0,-0.00042,-0.00042,0.00042
1,3,ty,62.5,62.258793,-0.24120700000000284,0.24120700000000284
2,0,linear_r2c0,0.0,0.00028,0.00028,0.00028
2,1,linear_r2c1,0.0,-8.7e-05,-8.7e-05,8.7e-05
2,2,linear_r2c2,0.5,0.499921,-7.899999999999574e-05,7.899999999999574e-05
2,3,tz,62.5,62.196773,-0.3032269999999997,0.3032269999999997
