row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.231552790153,0.231123,-0.0004297901530000148,0.0004297901530000148
0,1,linear_r0c1,0.974582085927,0.974702,0.00011991407299993817,0.00011991407299993817
0,2,linear_r0c2,0.291404913653,0.291367,-3.7913652999987946e-05,3.7913652999987946e-05
0,3,tx,-120.183406642556,-120.139778,0.043628642555987085,0.043628642555987085
1,0,linear_r1c0,-0.614904379404,-0.614351,0.0005533794040000206,0.0005533794040000206
1,1,linear_r1c1,0.280146965149,0.280521,0.00037403485100001577,0.00037403485100001577
1,2,linear_r1c2,0.229765030835,0.230196,0.0004309691650000169,0.0004309691650000169
1,3,ty,283.987419686551,283.680985,-0.30643468655097195,0.30643468655097195
2,0,linear_r2c0,0.112784546845,0.112789,4.4531550000004305e-06,4.4531550000004305e-06
2,1,linear_r2c1,-0.512907588364,-0.51305,-0.00014241163600003937,0.00014241163600003937
2,2,linear_r2c2,0.654020967341,0.653944,-7.696734100004488e-05,7.696734100004488e-05
2,3,tz,175.604737878534,175.75729,0.15255212146601593,0.15255212146601593
