row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918701,0.0009753341210000377,0.0009753341210000377
0,1,linear_r0c1,0.215361189858,0.215288,-7.318985800000566e-05,7.318985800000566e-05
0,2,linear_r0c2,0.101806986705,0.101414,-0.00039298670500000077,0.00039298670500000077
0,3,tx,-35.802956505323024,-35.77636,0.026596505323027486,0.026596505323027486
1,0,linear_r1c0,-0.202393799825,-0.20192,0.0004737998250000097,0.0004737998250000097
1,1,linear_r1c1,1.026031128239,1.024841,-0.00119012823900011,0.00119012823900011
1,2,linear_r1c2,0.068892775316,0.069506,0.000613224684000005,0.000613224684000005
1,3,ty,20.810875376898007,20.803477,-0.007398376898006376,0.007398376898006376
2,0,linear_r2c0,-0.082539638924,-0.083099,-0.0005593610760000062,0.0005593610760000062
2,1,linear_r2c1,-0.094437732193,-0.094511,-7.326780699999647e-05,7.326780699999647e-05
2,2,linear_r2c2,0.963061537592,0.962434,-0.0006275375919999604,0.0006275375919999604
2,3,tz,21.910904304285992,22.102858,0.1919536957140089,0.1919536957140089
