row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918332,0.000606334121000085,0.000606334121000085
0,1,linear_r0c1,0.215361189858,0.215488,0.00012681014200000007,0.00012681014200000007
0,2,linear_r0c2,0.101806986705,0.101177,-0.0006299867050000019,0.0006299867050000019
0,3,tx,-35.802956505323024,-35.765422,0.03753450532302338,0.03753450532302338
1,0,linear_r1c0,-0.202393799825,-0.201838,0.0005557998250000085,0.0005557998250000085
1,1,linear_r1c1,1.026031128239,1.024852,-0.0011791282389999047,0.0011791282389999047
1,2,linear_r1c2,0.068892775316,0.068884,-8.775315999992594e-06,8.775315999992594e-06
1,3,ty,20.810875376898007,20.900003,0.0891276231019944,0.0891276231019944
2,0,linear_r2c0,-0.082539638924,-0.082987,-0.0004473610760000052,0.0004473610760000052
2,1,linear_r2c1,-0.094437732193,-0.093715,0.0007227321929999947,0.0007227321929999947
2,2,linear_r2c2,0.963061537592,0.962094,-0.0009675375919999674,0.0009675375919999674
2,3,tz,21.910904304285992,22.010629,0.09972469571400921,0.09972469571400921
