row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918247,0.0005213341210000833,0.0005213341210000833
0,1,linear_r0c1,0.215361189858,0.21462,-0.0007411898580000076,0.0007411898580000076
0,2,linear_r0c2,0.101806986705,0.101173,-0.0006339867050000059,0.0006339867050000059
0,3,tx,-35.802956505323024,-35.637404,0.1655525053230278,0.1655525053230278
1,0,linear_r1c0,-0.202393799825,-0.201707,0.0006867998250000007,0.0006867998250000007
1,1,linear_r1c1,1.026031128239,1.024939,-0.0010921282389999565,0.0010921282389999565
1,2,linear_r1c2,0.068892775316,0.069311,0.00041822468400000423,0.00041822468400000423
1,3,ty,20.810875376898007,20.804319,-0.006556376898007699,0.006556376898007699
2,0,linear_r2c0,-0.082539638924,-0.08222,0.0003196389239999986,0.0003196389239999986
2,1,linear_r2c1,-0.094437732193,-0.09405,0.0003877321930000066,0.0003877321930000066
2,2,linear_r2c2,0.963061537592,0.962677,-0.0003845375919999672,0.0003845375919999672
2,3,tz,21.910904304285992,21.937883,0.026978695714007017,0.026978695714007017
