row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918594,0.0008683341210000695,0.0008683341210000695
0,1,linear_r0c1,0.215361189858,0.214572,-0.0007891898580000001,0.0007891898580000001
0,2,linear_r0c2,0.101806986705,0.101337,-0.0004699867050000084,0.0004699867050000084
0,3,tx,-35.802956505323024,-35.714639,0.08831750532302607,0.08831750532302607
1,0,linear_r1c0,-0.202393799825,-0.201949,0.0004447998250000085,0.0004447998250000085
1,1,linear_r1c1,1.026031128239,1.025467,-0.0005641282390000946,0.0005641282390000946
1,2,linear_r1c2,0.068892775316,0.069359,0.0004662246840000106,0.0004662246840000106
1,3,ty,20.810875376898007,20.742823,-0.06805237689800592,0.06805237689800592
2,0,linear_r2c0,-0.082539638924,-0.082646,-0.00010636107599999722,0.00010636107599999722
2,1,linear_r2c1,-0.094437732193,-0.094486,-4.826780699999922e-05,4.826780699999922e-05
2,2,linear_r2c2,0.963061537592,0.962628,-0.0004335375919999329,0.0004335375919999329
2,3,tz,21.910904304285992,21.994113,0.08320869571400635,0.08320869571400635
