row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.918298,0.0005723341209999955,0.0005723341209999955
0,1,linear_r0c1,0.215361189858,0.214805,-0.0005561898580000169,0.0005561898580000169
0,2,linear_r0c2,0.101806986705,0.101148,-0.0006589867050000031,0.0006589867050000031
0,3,tx,-35.802956505323024,-35.679983,0.12297350532302431,0.12297350532302431
1,0,linear_r1c0,-0.202393799825,-0.202102,0.00029179982499999424,0.00029179982499999424
1,1,linear_r1c1,1.026031128239,1.02482,-0.0012111282389999367,0.0012111282389999367
1,2,linear_r1c2,0.068892775316,0.06972,0.0008272246840000108,0.0008272246840000108
1,3,ty,20.810875376898007,20.818529,0.007653623101994356,0.007653623101994356
2,0,linear_r2c0,-0.082539638924,-0.082347,0.0001926389239999965,0.0001926389239999965
2,1,linear_r2c1,-0.094437732193,-0.094551,-0.00011326780699999484,0.00011326780699999484
2,2,linear_r2c2,0.963061537592,0.962811,-0.0002505375919999997,0.0002505375919999997
2,3,tz,21.910904304285992,21.946101,0.03519669571400641,0.03519669571400641
