row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917909,0.00018333412100002278,0.00018333412100002278
0,1,linear_r0c1,0.215361189858,0.214828,-0.0005331898580000216,0.0005331898580000216
0,2,linear_r0c2,0.101806986705,0.101502,-0.0003049867050000099,0.0003049867050000099
0,3,tx,-35.802956505323024,-35.657857,0.1450995053230244,0.1450995053230244
1,0,linear_r1c0,-0.202393799825,-0.202227,0.000166799825000008,0.000166799825000008
1,1,linear_r1c1,1.026031128239,1.024469,-0.001562128238999927,0.001562128238999927
1,2,linear_r1c2,0.068892775316,0.069917,0.0010242246840000135,0.0010242246840000135
1,3,ty,20.810875376898007,20.848574,0.03769862310199201,0.03769862310199201
2,0,linear_r2c0,-0.082539638924,-0.081961,0.000578638923999994,0.000578638923999994
2,1,linear_r2c1,-0.094437732193,-0.09494,-0.0005022678069999953,0.0005022678069999953
2,2,linear_r2c2,0.963061537592,0.962474,-0.0005875375919999204,0.0005875375919999204
2,3,tz,21.910904304285992,21.981586,0.07068169571400773,0.07068169571400773
