row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.2,0.199546,-0.00045400000000000995,0.00045400000000000995
0,1,linear_r0c1,0.0,-0.000665,-0.000665,0.000665
0,2,linear_r0c2,0.0,-0.000868,-0.000868,0.000868
0,3,tx,25.0,24.780775,-0.21922500000000156,0.21922500000000156
1,0,linear_r1c0,0.0,0.000524,0.000524,0.000524
1,1,linear_r1c1,0.2,0.199767,-0.00023300000000001098,0.00023300000000001098
1,2,linear_r1c2,0.0,0.000275,0.000275,0.000275
1,3,ty,25.0,24.525858,-0.4741420000000005,0.4741420000000005
2,0,linear_r2c0,0.0,-0.000598,-0.000598,0.000598
2,1,linear_r2c1,0.0,-0.000595,-0.000595,0.000595
2,2,linear_r2c2,0.2,0.199124,-0.0008760000000000157,0.0008760000000000157
2,3,tz,25.0,24.90519,-0.09480999999999895,0.09480999999999895
